Merchant,Branch,1st time users,Organic sum of spend,Sum of Comission,Sum of rewards,% of Net Reward,Net Reward,Net Win/Loss,Avg Reward,Total GMV,Free Trial Until
Dragon Hot Pot,"Kingsway, Glen Waverley",147,$91.79,$0.00,"$3,102.41",1.88%,"-$3,102.41",-12.02%,22.12,"$25,804.23",31/12/19
Sharetea,Springvale,143,$27.15,$372.69,$372.69,0.23%,$0.00,0.00%,15,"$3,726.90",03/02/19
Dragon Hot Pot,Swanston Street,137,$113.27,$0.00,"$3,829.15",2.32%,"-$3,829.15",-12.12%,12.23,"$31,600.05",31/12/19
Din Tai Fung,Emporium Shopping Centre,136,$82.46,$0.00,"$2,135.84",1.30%,"-$2,135.84",-9.76%,14.34,"$21,876.95",30/06/19
Messina,Parramatta,135,$5.59,$99.36,$99.36,0.06%,$0.00,0.00%,30,$993.60,30/11/18
New Shanghai,Westfield Sydney,133,$71.74,$0.00,"$1,643.38",1.00%,"-$1,643.38",-9.92%,10,"$16,564.34",30/04/19
Sharetea,Melbourne CBD,133,$39.52,$423.88,$423.88,0.26%,$0.00,0.00%,10,"$4,238.80",03/02/19
Sushi Rap,Regent Place,132,$12.53,$0.00,$161.70,0.10%,-$161.70,-10.00%,10,"$1,617.01",âˆ…
Ajisen Ramen,Sydney,128,$21.22,$310.71,$310.71,0.19%,$0.00,0.00%,10.06,"$2,071.37",âˆ…
Messina,Fitzroy,127,$11.00,$165.68,$165.68,0.10%,$0.00,0.00%,10,"$1,656.80",30/11/18
Nama,Sydney,127,$18.34,$401.69,$401.69,0.24%,$0.00,0.00%,10,"$2,500.70",30/09/18
Mad Mex,Central Station,126,$4.71,$223.76,$223.76,0.14%,$0.00,0.00%,10,"$1,491.74",31/08/18
Ajisen Ramen,Bourke Street,121,$34.12,$79.86,$53.24,0.03%,$26.62,5.00%,6.76,$532.40,31/08/18
BL Burgers,Darlinghurst,120,$8.98,$0.00,$198.95,0.12%,-$198.95,-10.00%,10,"$1,989.50",31/08/19
CoCo Fresh Tea & Juice,Waterloo,120,$16.30,$104.55,$348.51,0.21%,-$243.96,-7.00%,15,"$3,485.09",âˆ…
Sharetea,UNSW,115,$4.60,$28.71,$28.71,0.02%,$0.00,0.00%,10,$287.10,03/02/19
Messina,Darlinghurst,107,$7.16,$128.23,$128.23,0.08%,$0.00,0.00%,10,"$1,282.30",30/11/18
Burger Project,Broadway Shopping Centre,107,$10.65,$0.00,$324.68,0.20%,-$324.68,-15.00%,10,"$2,164.55",12/10/19
Burger Project,Bondi Junction,103,$4.90,$0.00,$184.69,0.11%,-$184.69,-15.00%,10,"$1,231.30",12/10/19
Piccolo Me,Macquarie Street,101,$5.35,$101.67,$101.67,0.06%,$0.00,0.00%,30,$677.80,31/10/18
Messina,Richmond,97,$15.91,$108.39,$108.39,0.07%,$0.00,0.00%,10,"$1,083.90",30/11/18
Dragon Hot Pot,Elizabeth Street,97,$131.82,$0.00,"$3,056.71",1.86%,"-$3,056.71",-12.12%,12.22,"$25,212.10",31/12/19
Mad Mex,Darlinghurst,93,$2.86,$76.95,$76.95,0.05%,$0.00,0.00%,25,$513.00,12/01/19
Mad Mex,Bourke Street,93,$5.18,$83.63,$83.63,0.05%,$0.00,0.00%,15,$557.50,31/08/18
Kurtosh,Crows Nest,91,$12.05,$139.51,$139.51,0.08%,$0.00,0.00%,25,"$1,231.41",13/10/18
Porta Via,The University of Melbourne,89,$18.91,$602.90,$651.37,0.40%,-$48.47,-1.06%,14.22,"$4,574.90",âˆ…
Messina,Windsor,87,$18.56,$126.83,$126.83,0.08%,$0.00,0.00%,10,"$1,268.30",30/11/18
