Id,Name,Suburb,Zomato Name,levenshtein,n,url
1616.0,Saigon Bowl,Strathfield,Saigon Bowl,0,1,"https://www.zomato.com/sydney/saigon-bowl-strathfield
"
1327.0,Piccolo Me,Hunter Street,Piccolo Me,0,4,"https://www.zomato.com/sydney/piccolo-me-2-cbd
"
384.0,Rubyos,Newtown,Rubyos,0,1,"https://www.zomato.com/sydney/rubyos-newtown
"
1536.0,Din Tai Fung,Westfield Chatswood,Din Tai Fung,0,8,"https://www.zomato.com/sydney/din-tai-fung-chatswood
"
993.0,Teascoo,Bondi Junction,Teascoo,0,2,"https://www.zomato.com/sydney/teascoo-bondi-junction
"
960.0,Coco Cubano,Top Ryde,Coco Cubano,0,4,"https://www.zomato.com/sydney/coco-cubano-ryde
"
990.0,I Love Pho,Crows Nest,I Love Pho,0,1,"https://www.zomato.com/sydney/i-love-pho-crows-nest
"
1296.0,Sharetea,North Sydney,Sharetea,0,8,"https://www.zomato.com/sydney/sharetea-north-sydney
"
1485.0,Madame Nhu,Westfield Chatswood,Madame Nhu,0,3,"https://www.zomato.com/sydney/madame-nhu-chatswood
"
1157.0,Pasta Pantry,Bondi Junction,Pasta Pantry,0,2,"https://www.zomato.com/sydney/pasta-pantry-bondi-junction
"
1612.0,The Bulgogi,Strathfield,The Bulgogi,0,3,"https://www.zomato.com/sydney/the-bulgogi-strathfield
"
1538.0,Din Tai Fung,The Star,Din Tai Fung,0,8,"https://www.zomato.com/sydney/din-tai-fung-pyrmont
"
1323.0,RivaReno Gelato,Barangaroo,RivaReno Gelato,0,2,"https://www.zomato.com/sydney/rivareno-gelato-barangaroo
"
1576.0,Burger Project,World Square Shopping Centre,Burger Project,0,8,"https://www.zomato.com/sydney/burger-project-cbd
"
526.0,Bombay Street Kitchen,Glebe,Bombay Street Kitchen,0,1,"https://www.zomato.com/sydney/bombay-street-kitchen-glebe
"
1348.0,Ume Burger,Barangaroo,Ume Burger,0,1,"https://www.zomato.com/sydney/ume-burger-barangaroo
"
632.0,Subsolo,Sydney,Subsolo,0,1,"https://www.zomato.com/sydney/subsolo-cbd
"
1352.0,CoCo Fresh Tea & Juice,Broadway,CoCo Fresh Tea & Juice,0,11,"https://www.zomato.com/sydney/coco-fresh-tea-juice-1-ultimo
"
611.0,La Sen,Randwick,La Sen,0,1,"https://www.zomato.com/sydney/la-sen-randwick
"
944.0,Bekya,Forest Lodge,Bekya,0,1,"https://www.zomato.com/sydney/bekya-forest-lodge
"
1636.0,Master Yang,Chatswood,Master Yang,0,1,"https://www.zomato.com/sydney/master-yang-chatswood
"
1242.0,CoCo Fresh Tea & Juice,Town Hall,CoCo Fresh Tea & Juice,0,11,"https://www.zomato.com/sydney/coco-fresh-tea-juice-1-cbd
"
996.0,Bare Grill,Surry Hills,Bare Grill,0,1,"https://www.zomato.com/sydney/bare-grill-surry-hills
"
1353.0,Pasta Pantry,Bellevue Hill,Pasta Pantry,0,2,"https://www.zomato.com/sydney/pasta-pantry-bondi-junction
"
1226.0,South Dowling Sandwiches,Darlinghurst,South Dowling Sandwiches,0,1,"https://www.zomato.com/sydney/south-dowling-sandwiches-darlinghurst
"
1573.0,Burger Project,Broadway Shopping Centre,Burger Project,0,8,"https://www.zomato.com/sydney/burger-project-glebe
"
1335.0,Piccolo Me,King Street,Piccolo Me,0,4,"https://www.zomato.com/sydney/piccolo-me-1-cbd
"
1289.0,Burger Patch,Chatswood,Burger Patch,0,1,"https://www.zomato.com/sydney/burger-patch-chatswood
"
1037.0,Mad Mex,MET Centre,Mad Mex,0,8,"https://www.zomato.com/sydney/mad-mex-cbd
"
296.0,Casa Ristorante Italiano,Darling Harbour,Casa Ristorante Italiano,0,1,"https://www.zomato.com/sydney/casa-ristorante-italiano-cbd
"
