,Name,Suburb,Id,Zomato Name,url
0,Zushi,Surry Hills,641.0,Zushi Surry Hills,"https://www.zomato.com/sydney/zushi-surry-hills-surry-hills
"
0,YiFang Taiwan Fruit Tea,Cabramatta,1547.0,Yifang Taiwan Fruit Tea 一芳水果茶,"https://www.zomato.com/sydney/yifang-taiwan-fruit-tea-cabramatta
"
0,YiFang Taiwan Fruit Tea,Burwood,1550.0,Yifang Taiwan Fruit Tea 一芳水果茶,"https://www.zomato.com/sydney/yifang-taiwan-fruit-tea-burwood
"
0,YiFang Taiwan Fruit Tea,Sydney,1548.0,Yifang Taiwan Fruit Tea 一芳水果茶,"https://www.zomato.com/sydney/yifang-taiwan-fruit-tea-cbd
"
0,YiFang Taiwan Fruit Tea,Eastwood,1551.0,Yifang Taiwan Fruit Tea 一芳水果茶,"https://www.zomato.com/sydney/yifang-taiwan-fruit-tea-eastwood
"
0,Xing Xing Sichuan Dish,Chinatown,1553.0,Xing Xing Sichuan Dish,"https://www.zomato.com/sydney/xing-xing-sichuan-dish-haymarket
"
0,Xage,Surry Hills,1484.0,Xage Vietnamese,"https://www.zomato.com/sydney/xage-vietnamese-surry-hills
"
0,Village Crown,Zetland,1146.0,The Village Crown,"https://www.zomato.com/sydney/the-village-crown-zetland
"
0,Ume Burger,Barangaroo,1348.0,Ume Burger,"https://www.zomato.com/sydney/ume-burger-barangaroo
"
0,Two Sticks,Haymarket - The Quay,674.0,Two Sticks: Quay St,"https://www.zomato.com/sydney/two-sticks-quay-st-haymarket
"
0,Two Sticks,Barangaroo,675.0,Two Sticks: Barangaroo Ave,"https://www.zomato.com/sydney/two-sticks-barangaroo-ave-barangaroo
"
0,Two Sticks,Haymarket - George Street,695.0,Two Sticks: George St,"https://www.zomato.com/sydney/two-sticks-george-st-haymarket
"
1,Two Sticks,Haymarket - George Street,695.0,Two Sticks: George St,"https://www.zomato.com/sydney/two-sticks-george-st-haymarket
"
0,Top's Kitchen,Surry Hills,904.0,Top's Kitchen,"https://www.zomato.com/sydney/tops-kitchen-surry-hills
"
0,Tontaro Ramen,Sydney,1588.0,Tontaro Ramen Honten,"https://www.zomato.com/sydney/tontaro-ramen-honten-cbd
"
0,Tonda Pizza,Chippendale,1456.0,Tonda Pizza,"https://www.zomato.com/sydney/tonda-pizza-chippendale
"
0,Tj Fresh Sushi,Ultimo,723.0,TJ Fresh Sushi,"https://www.zomato.com/sydney/tj-fresh-sushi-ultimo
"
0,Three Williams,Redfern,1390.0,Three Williams,"https://www.zomato.com/sydney/three-williams-redfern
"
0,Thirsty Bird,Potts Point,1274.0,Thirsty Bird,"https://www.zomato.com/sydney/thirsty-bird-potts-point
"
0,The Sandwich Shop,Haymarket,1366.0,The Sandwich Shop,"https://www.zomato.com/sydney/the-sandwich-shop-haymarket
"
0,The Sandwich Shop,Steam Mill Popup,1411.0,The Sandwich Shop,"https://www.zomato.com/sydney/the-sandwich-shop-haymarket
"
0,The Sandwich Shop,Surry Hills,1367.0,The Sandwich Shop,"https://www.zomato.com/sydney/the-sandwich-shop-surry-hills
"
0,The Pie Tin,Newtown,1387.0,The Pie Tin,"https://www.zomato.com/sydney/the-pie-tin-newtown
"
0,The Ohbar Thai Cuisine 1982,Sydney CBD,477.0,THE OHBAR Thai Cuisine 1982,"https://www.zomato.com/sydney/the-ohbar-thai-cuisine-1982-cbd
"
0,The Little Snail,Darling Harbour,329.0,The Little Snail,"https://www.zomato.com/sydney/the-little-snail-cbd
"
0,The Giant Bean,Marrickville,626.0,The Giant Bean Cafe,"https://www.zomato.com/sydney/the-giant-bean-cafe-marrickville
"
0,The Factory Grind,Surry Hills,1254.0,The Factory Grind,"https://www.zomato.com/sydney/the-factory-grind-surry-hills
"
0,The Char Rotisserie,Bondi,1214.0,The Char Rotisserie,"https://www.zomato.com/sydney/the-char-rotisserie-bondi
"
0,The Caffeine Project,Chippendale,1471.0,TNS Coffee Project,"https://www.zomato.com/sydney/tns-coffee-project-chippendale
"
0,The Bun Gallery,Haymarket,1546.0,The Bun Gallery,"https://www.zomato.com/sydney/the-bun-gallery-haymarket
"
0,The Bulgogi,Chatswood,1613.0,Bulgogi Chatswood,"https://www.zomato.com/sydney/bulgogi-chatswood-chatswood
"
0,The Bulgogi,Strathfield,1612.0,The Bulgogi,"https://www.zomato.com/sydney/the-bulgogi-strathfield
"
0,The Bulgogi,Sydney,1609.0,The Bulgogi,"https://www.zomato.com/sydney/the-bulgogi-1-cbd
"
0,Thanon KhaoSan,Haymarket,943.0,Thanon Khaosan,"https://www.zomato.com/sydney/thanon-khaosan-haymarket
"
0,Thai Pothong,Marrickville,1611.0,Thai Pothong,"https://www.zomato.com/sydney/thai-pothong-marrickville
"
0,Thai Pothong,Newtown,1610.0,Thai Pothong,"https://www.zomato.com/sydney/thai-pothong-newtown
"
0,Teascoo,Bondi Junction,993.0,Teascoo,"https://www.zomato.com/sydney/teascoo-bondi-junction
"
1,Teascoo,Bondi Junction,993.0,Teascoo,"https://www.zomato.com/sydney/teascoo-bondi-junction
"
0,Taste of Szechuan,Redfern,727.0,Taste Of Szechuan,"https://www.zomato.com/sydney/taste-of-szechuan-redfern
"
0,TNS Coffee Project,Chippendale,1472.0,TNS Coffee Project,"https://www.zomato.com/sydney/tns-coffee-project-chippendale
"
